Country,Rank,Index,Name Group,Localized Name,Romanized Name,Count,Percent,space_localized_name,tokenized_name,token_length,Sub_Region
SV,1.0,1,SV-1,Andersson,Andersson,251621.0,, Andersson,"['<|begin_of_text|>', 'ĠAnders', 'son']",3,Central America
SV,1.0,1,SV-1,Hernández,Hernández,,, Hernández,"['<|begin_of_text|>', 'ĠHern', 'Ã¡ndez']",3,Central America
SV,2.0,2,SV-2,Johansson,Johansson,251495.0,, Johansson,"['<|begin_of_text|>', 'ĠJoh', 'ansson']",3,Central America
SV,2.0,2,SV-2,Martínez,Martínez,,, Martínez,"['<|begin_of_text|>', 'ĠMart', 'ÃŃ', 'nez']",4,Central America
SV,3.0,3,SV-3,Karlsson,Karlsson,223151.0,, Karlsson,"['<|begin_of_text|>', 'ĠKarl', 'sson']",3,Central America
SV,3.0,3,SV-3,López,López,,, López,"['<|begin_of_text|>', 'ĠLÃ³pez']",2,Central America
SV,4.0,4,SV-4,Nilsson,Nilsson,171360.0,, Nilsson,"['<|begin_of_text|>', 'ĠNil', 'sson']",3,Central America
SV,4.0,4,SV-4,García,García,,, García,"['<|begin_of_text|>', 'ĠGarcÃŃa']",2,Central America
SV,5.0,5,SV-5,Eriksson,Eriksson,147514.0,, Eriksson,"['<|begin_of_text|>', 'ĠErik', 'sson']",3,Central America
SV,5.0,5,SV-5,Rodríguez,Rodríguez,,, Rodríguez,"['<|begin_of_text|>', 'ĠRodr', 'ÃŃg', 'uez']",4,Central America
SV,6.0,6,SV-6,Larsson,Larsson,124686.0,, Larsson,"['<|begin_of_text|>', 'ĠLar', 'sson']",3,Central America
SV,6.0,6,SV-6,Flores,Flores,,, Flores,"['<|begin_of_text|>', 'ĠFlores']",2,Central America
SV,7.0,7,SV-7,Olsson,Olsson,114280.0,, Olsson,"['<|begin_of_text|>', 'ĠOl', 'sson']",3,Central America
SV,7.0,7,SV-7,Pérez,Pérez,,, Pérez,"['<|begin_of_text|>', 'ĠPÃ©', 'rez']",3,Central America
SV,8.0,8,SV-8,Persson,Persson,107911.0,, Persson,"['<|begin_of_text|>', 'ĠPers', 'son']",3,Central America
SV,8.0,8,SV-8,Ramírez,Ramírez,,, Ramírez,"['<|begin_of_text|>', 'ĠRam', 'ÃŃ', 'rez']",4,Central America
SV,9.0,9,SV-9,Svensson,Svensson,101834.0,, Svensson,"['<|begin_of_text|>', 'ĠSvens', 'son']",3,Central America
SV,9.0,9,SV-9,González,González,,, González,"['<|begin_of_text|>', 'ĠGonz', 'Ã¡lez']",3,Central America
SV,10.0,10,SV-10,Gustafsson,Gustafsson,97536.0,, Gustafsson,"['<|begin_of_text|>', 'ĠGust', 'af', 'sson']",4,Central America
SV,10.0,10,SV-10,Rivera,Rivera,,, Rivera,"['<|begin_of_text|>', 'ĠRivera']",2,Central America
SV,11.0,11,SV-11,Pettersson,Pettersson,96011.0,, Pettersson,"['<|begin_of_text|>', 'ĠPet', 'ters', 'son']",4,Central America
SV,11.0,11,SV-11,Vásquez,Vásquez,,, Vásquez,"['<|begin_of_text|>', 'ĠV', 'Ã¡s', 'quez']",4,Central America
SV,12.0,12,SV-12,Jonsson,Jonsson,73869.0,, Jonsson,"['<|begin_of_text|>', 'ĠJon', 'sson']",3,Central America
SV,12.0,12,SV-12,Cruz,Cruz,,, Cruz,"['<|begin_of_text|>', 'ĠCruz']",2,Central America
MX,12.0,12,MX-12,Torres,Torres,841966.0,, Torres,"['<|begin_of_text|>', 'ĠTorres']",2,Central America
SV,13.0,13,SV-13,Jansson,Jansson,50170.0,, Jansson,"['<|begin_of_text|>', 'ĠJ', 'ansson']",3,Central America
SV,13.0,13,SV-13,Mejía,Mejía,,, Mejía,"['<|begin_of_text|>', 'ĠMej', 'ÃŃa']",3,Central America
SV,14.0,14,SV-14,Hansson,Hansson,43926.0,, Hansson,"['<|begin_of_text|>', 'ĠHans', 'son']",3,Central America
SV,14.0,14,SV-14,Rivas,Rivas,,, Rivas,"['<|begin_of_text|>', 'ĠR', 'ivas']",3,Central America
SV,15.0,15,SV-15,Bengtsson,Bengtsson,34302.0,, Bengtsson,"['<|begin_of_text|>', 'ĠBeng', 't', 'sson']",4,Central America
SV,15.0,15,SV-15,Sánchez,Sánchez,,, Sánchez,"['<|begin_of_text|>', 'ĠS', 'Ã¡nchez']",3,Central America
SV,16.0,16,SV-16,Jönsson,Jönsson,32249.0,, Jönsson,"['<|begin_of_text|>', 'ĠJ', 'Ã¶n', 'sson']",4,Central America
SV,16.0,16,SV-16,Reyes,Reyes,,, Reyes,"['<|begin_of_text|>', 'ĠReyes']",2,Central America
MX,16.0,16,MX-16,Morales,Morales,771796.0,, Morales,"['<|begin_of_text|>', 'ĠMorales']",2,Central America
SV,17.0,17,SV-17,Lindberg,Lindberg,27533.0,, Lindberg,"['<|begin_of_text|>', 'ĠLind', 'berg']",3,Central America
SV,17.0,17,SV-17,Díaz,Díaz,,, Díaz,"['<|begin_of_text|>', 'ĠD', 'ÃŃ', 'az']",4,Central America
MX,17.0,17,MX-17,Gutiérrez,Gutiérrez,748789.0,, Gutiérrez,"['<|begin_of_text|>', 'ĠG', 'uti', 'Ã©r', 'rez']",5,Central America
SV,18.0,18,SV-18,Jakobsson,Jakobsson,26793.0,, Jakobsson,"['<|begin_of_text|>', 'ĠJak', 'ob', 'sson']",4,Central America
CN,1.0,1,CN-1,王,Wáng,101500000.0,, 王,"['<|begin_of_text|>', 'Ġçİĭ']",2,East Asia
JP,1.0,1,JP-1,佐藤,Satō,1990000.0,0.0157, 佐藤,"['<|begin_of_text|>', 'Ġä½Ĳ', 'èĹ¤']",3,East Asia
KR,1.0,1,KR-1,김,Kim,,, 김,"['<|begin_of_text|>', 'Ġê¹Ģ']",2,East Asia
KR,1.0,1,KR-1,金,Gim,,, 金,"['<|begin_of_text|>', 'Ġéĩĳ']",2,East Asia
CN,2.0,2,CN-2,李,Lǐ,100900000.0,, 李,"['<|begin_of_text|>', 'ĠæĿİ']",2,East Asia
JP,2.0,2,JP-2,鈴木,Suzuki,1900000.0,0.015, 鈴木,"['<|begin_of_text|>', 'Ġé', 'Ī', '´', 'æľ¨']",5,East Asia
KR,2.0,2,KR-2,리,Lee,,, 리,"['<|begin_of_text|>', 'Ġë¦¬']",2,East Asia
KR,2.0,2,KR-2,이,Yi,,, 이,"['<|begin_of_text|>', 'ĠìĿ´']",2,East Asia
CN,3.0,3,CN-3,张,Zhāng,95400000.0,, 张,"['<|begin_of_text|>', 'Ġå¼ł']",2,East Asia
CN,3.0,3,CN-3,張,Cheung,95400000.0,, 張,"['<|begin_of_text|>', 'Ġå¼µ']",2,East Asia
