Country,Rank,Index,Name Group,Localized Name,Romanized Name,Count,Percent,space_localized_name,tokenized_name,token_length,Sub_Region
SV,1.0,1,SV-1,Andersson,Andersson,251621.0,, Andersson,"[128000, 48693, 942]",3,Central America
SV,1.0,1,SV-1,Hernández,Hernández,,, Hernández,"[128000, 41556, 78146]",3,Central America
SV,2.0,2,SV-2,Johansson,Johansson,251495.0,, Johansson,"[128000, 27268, 81265]",3,Central America
SV,2.0,2,SV-2,Martínez,Martínez,,, Martínez,"[128000, 8290, 2483, 55506]",4,Central America
SV,3.0,3,SV-3,Karlsson,Karlsson,223151.0,, Karlsson,"[128000, 35131, 31031]",3,Central America
SV,3.0,3,SV-3,López,López,,, López,"[128000, 92075]",2,Central America
SV,4.0,4,SV-4,Nilsson,Nilsson,171360.0,, Nilsson,"[128000, 33374, 31031]",3,Central America
SV,4.0,4,SV-4,García,García,,, García,"[128000, 85341]",2,Central America
SV,5.0,5,SV-5,Eriksson,Eriksson,147514.0,, Eriksson,"[128000, 42446, 31031]",3,Central America
SV,5.0,5,SV-5,Rodríguez,Rodríguez,,, Rodríguez,"[128000, 57825, 71437, 28700]",4,Central America
SV,6.0,6,SV-6,Larsson,Larsson,124686.0,, Larsson,"[128000, 32404, 31031]",3,Central America
SV,6.0,6,SV-6,Flores,Flores,,, Flores,"[128000, 74052]",2,Central America
SV,7.0,7,SV-7,Olsson,Olsson,114280.0,, Olsson,"[128000, 12225, 31031]",3,Central America
SV,7.0,7,SV-7,Pérez,Pérez,,, Pérez,"[128000, 80967, 23577]",3,Central America
SV,8.0,8,SV-8,Persson,Persson,107911.0,, Persson,"[128000, 21097, 942]",3,Central America
SV,8.0,8,SV-8,Ramírez,Ramírez,,, Ramírez,"[128000, 15504, 2483, 23577]",4,Central America
SV,9.0,9,SV-9,Svensson,Svensson,101834.0,, Svensson,"[128000, 87273, 942]",3,Central America
SV,9.0,9,SV-9,González,González,,, González,"[128000, 33555, 97465]",3,Central America
SV,10.0,10,SV-10,Gustafsson,Gustafsson,97536.0,, Gustafsson,"[128000, 49720, 2642, 31031]",4,Central America
SV,10.0,10,SV-10,Rivera,Rivera,,, Rivera,"[128000, 64210]",2,Central America
SV,11.0,11,SV-11,Pettersson,Pettersson,96011.0,, Pettersson,"[128000, 11586, 5153, 942]",4,Central America
SV,11.0,11,SV-11,Vásquez,Vásquez,,, Vásquez,"[128000, 650, 7206, 42221]",4,Central America
SV,12.0,12,SV-12,Jonsson,Jonsson,73869.0,, Jonsson,"[128000, 12565, 31031]",3,Central America
SV,12.0,12,SV-12,Cruz,Cruz,,, Cruz,"[128000, 21510]",2,Central America
MX,12.0,12,MX-12,Torres,Torres,841966.0,, Torres,"[128000, 55507]",2,Central America
SV,13.0,13,SV-13,Jansson,Jansson,50170.0,, Jansson,"[128000, 622, 81265]",3,Central America
SV,13.0,13,SV-13,Mejía,Mejía,,, Mejía,"[128000, 87245, 7583]",3,Central America
SV,14.0,14,SV-14,Hansson,Hansson,43926.0,, Hansson,"[128000, 25844, 942]",3,Central America
SV,14.0,14,SV-14,Rivas,Rivas,,, Rivas,"[128000, 432, 39924]",3,Central America
SV,15.0,15,SV-15,Bengtsson,Bengtsson,34302.0,, Bengtsson,"[128000, 26316, 83, 31031]",4,Central America
SV,15.0,15,SV-15,Sánchez,Sánchez,,, Sánchez,"[128000, 328, 99634]",3,Central America
SV,16.0,16,SV-16,Jönsson,Jönsson,32249.0,, Jönsson,"[128000, 622, 24233, 31031]",4,Central America
SV,16.0,16,SV-16,Reyes,Reyes,,, Reyes,"[128000, 77259]",2,Central America
MX,16.0,16,MX-16,Morales,Morales,771796.0,, Morales,"[128000, 76602]",2,Central America
SV,17.0,17,SV-17,Lindberg,Lindberg,27533.0,, Lindberg,"[128000, 28318, 7881]",3,Central America
SV,17.0,17,SV-17,Díaz,Díaz,,, Díaz,"[128000, 423, 2483, 1394]",4,Central America
