baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL
-0.3477781414985657,-0.5382930636405945,500,377,-0.5465929508209229,383,-0.5592896342277527,387,-0.5217580199241638
-0.3477781414985657,-0.5382930636405945,1000,844,-0.5224920511245728,833,-0.5235322713851929,856,-0.500678539276123
-0.3477781414985657,-0.5382930636405945,1500,1337,-0.5278685688972473,1327,-0.4855591952800751,1380,-0.5053099989891052
-0.3477781414985657,-0.5382930636405945,2000,1843,-0.46742263436317444,1835,-0.4552209973335266,1863,-0.5134055614471436
-0.3477781414985657,-0.5382930636405945,2500,2348,-0.4697936177253723,2316,-0.4500509202480316,2355,-0.48322543501853943
-0.3477781414985657,-0.5382930636405945,3000,2829,-0.4584607779979706,2842,-0.4601145088672638,2867,-0.4726146459579468
-0.3477781414985657,-0.5382930636405945,3500,3331,-0.48306918144226074,3340,-0.46417245268821716,3362,-0.47457224130630493
-0.3477781414985657,-0.5382930636405945,4000,3861,-0.4837722182273865,3825,-0.4769997000694275,3849,-0.4515470266342163
-0.3477781414985657,-0.5382930636405945,4500,4385,-0.4550810158252716,4302,-0.47982561588287354,4345,-0.4643188714981079
-0.3477781414985657,-0.5382930636405945,5000,4878,-0.4417504668235779,4827,-0.47579339146614075,4859,-0.45202112197875977
-0.3477781414985657,-0.5382930636405945,5500,5377,-0.4622868597507477,5343,-0.4609992802143097,5361,-0.45208868384361267
-0.3477781414985657,-0.5382930636405945,6000,5881,-0.458977073431015,5867,-0.4645804166793823,5892,-0.4414679706096649
-0.3477781414985657,-0.5382930636405945,6500,6381,-0.47138360142707825,6377,-0.47509536147117615,6399,-0.43115562200546265
-0.3477781414985657,-0.5382930636405945,7000,6901,-0.46340492367744446,6873,-0.4669996500015259,6908,-0.40447062253952026
-0.3477781414985657,-0.5382930636405945,7500,7408,-0.43529999256134033,7374,-0.4613729417324066,7409,-0.4073907732963562
-0.3477781414985657,-0.5382930636405945,8000,7914,-0.4294873774051666,7866,-0.46996280550956726,7909,-0.4044162631034851
-0.3477781414985657,-0.5382930636405945,8500,8414,-0.4321361184120178,8376,-0.45726698637008667,8405,-0.4240732491016388
-0.3477781414985657,-0.5382930636405945,9000,8912,-0.4002450406551361,8880,-0.454924076795578,8922,-0.4259735345840454
-0.3477781414985657,-0.5382930636405945,9500,9431,-0.40523889660835266,9370,-0.4568074345588684,9417,-0.4365560710430145
